NN,R-max mass,R-residual,l1-residual
0.67,0.77,0.79,0.48
0.79,0.83,0.73,0.46
0.67,0.8,0.76,0.56
0.68,0.78,0.75,0.59
0.79,0.83,0.77,0.57
0.73,0.78,0.71,0.54
0.75,0.83,0.82,0.56
0.76,0.81,0.77,0.48
0.77,0.83,0.77,0.6
0.66,0.75,0.72,0.49
0.79,0.83,0.8,0.5
0.71,0.84,0.79,0.58
0.8,0.83,0.81,0.63
0.76,0.79,0.76,0.47
0.66,0.76,0.79,0.62
0.64,0.72,0.7,0.51
0.68,0.79,0.74,0.45
0.73,0.74,0.69,0.48
0.63,0.77,0.75,0.54
0.66,0.77,0.78,0.35
0.62,0.68,0.67,0.43
0.63,0.72,0.71,0.47
0.74,0.83,0.82,0.58
0.66,0.77,0.68,0.51
0.71,0.76,0.76,0.47
0.79,0.81,0.77,0.5
0.8,0.83,0.76,0.56
0.63,0.67,0.7,0.5
0.71,0.75,0.8,0.5
0.56,0.69,0.64,0.41
0.68,0.76,0.78,0.52
0.78,0.76,0.71,0.59
0.68,0.72,0.76,0.47
0.73,0.76,0.62,0.42
0.72,0.77,0.73,0.6
0.66,0.71,0.66,0.5
0.79,0.84,0.84,0.61
0.69,0.76,0.69,0.42
0.67,0.79,0.73,0.47
0.6,0.67,0.69,0.57
0.62,0.7,0.65,0.42
0.79,0.8,0.75,0.49
0.76,0.78,0.78,0.4
0.73,0.83,0.76,0.55
0.76,0.81,0.76,0.6
0.59,0.67,0.64,0.36
0.68,0.72,0.74,0.59
0.6,0.73,0.79,0.54
0.65,0.74,0.77,0.51
0.67,0.73,0.7,0.47
