NN,R-max mass,R-residual,l1-residual
0.6,0.66,0.62,0.58
0.51,0.57,0.57,0.46
0.38,0.47,0.42,0.39
0.41,0.52,0.52,0.36
0.57,0.63,0.65,0.59
0.6,0.76,0.68,0.6
0.44,0.6,0.59,0.56
0.59,0.71,0.63,0.56
0.51,0.64,0.6,0.64
0.53,0.59,0.53,0.46
0.58,0.67,0.59,0.57
0.51,0.56,0.41,0.4
0.46,0.53,0.46,0.39
0.57,0.72,0.64,0.5
0.5,0.53,0.51,0.5
0.6,0.69,0.65,0.62
0.46,0.59,0.51,0.49
0.51,0.71,0.56,0.45
0.64,0.59,0.57,0.51
0.46,0.52,0.51,0.54
0.65,0.68,0.6,0.59
0.41,0.49,0.43,0.33
0.48,0.57,0.54,0.45
0.57,0.64,0.6,0.61
0.56,0.69,0.67,0.59
0.6,0.69,0.61,0.6
0.6,0.64,0.59,0.62
0.63,0.66,0.64,0.59
0.5,0.6,0.44,0.41
0.47,0.65,0.61,0.52
0.52,0.58,0.61,0.47
0.49,0.57,0.47,0.42
0.45,0.48,0.43,0.35
0.49,0.56,0.5,0.46
0.46,0.63,0.5,0.52
0.5,0.58,0.59,0.61
0.46,0.58,0.51,0.5
0.57,0.64,0.65,0.54
0.64,0.65,0.55,0.58
0.43,0.54,0.47,0.48
0.56,0.61,0.56,0.5
0.38,0.5,0.42,0.3
0.6,0.65,0.54,0.55
0.46,0.6,0.51,0.47
0.47,0.49,0.47,0.53
0.64,0.73,0.64,0.52
0.45,0.59,0.54,0.48
0.54,0.61,0.57,0.51
0.46,0.57,0.46,0.4
0.53,0.69,0.62,0.49
