NN,R-max mass,R-residual,l1-residual
0.91,0.94,0.93,0.66
0.95,0.95,0.94,0.67
0.92,0.91,0.9,0.63
0.95,0.96,0.96,0.76
0.97,0.98,0.97,0.74
0.95,0.95,0.97,0.71
0.95,0.96,0.94,0.73
0.96,0.97,0.96,0.73
0.94,0.95,0.94,0.77
0.88,0.92,0.94,0.71
0.97,0.97,0.98,0.79
0.91,0.91,0.91,0.64
0.98,0.98,0.96,0.73
0.94,0.95,0.97,0.69
0.93,0.93,0.93,0.59
0.9,0.91,0.91,0.72
0.97,0.96,0.95,0.75
0.95,0.95,0.95,0.77
0.94,0.94,0.94,0.75
0.98,0.98,0.95,0.74
0.92,0.96,0.95,0.77
0.93,0.92,0.92,0.7
0.94,0.95,0.95,0.73
0.97,0.99,0.99,0.7
0.93,0.96,0.94,0.75
0.91,0.93,0.94,0.77
0.93,0.93,0.93,0.77
0.99,0.99,0.98,0.74
0.92,0.93,0.93,0.72
0.93,0.92,0.91,0.74
0.98,0.98,0.97,0.69
0.95,0.97,0.95,0.71
0.97,0.97,0.97,0.73
0.92,0.94,0.94,0.69
0.91,0.94,0.93,0.74
0.91,0.93,0.92,0.61
0.92,0.96,0.96,0.82
0.92,0.93,0.91,0.75
0.91,0.95,0.94,0.8
0.96,0.98,0.99,0.8
0.93,0.94,0.95,0.68
0.95,0.96,0.96,0.77
0.93,0.94,0.95,0.79
0.97,0.99,0.97,0.77
0.93,0.95,0.97,0.68
0.95,0.96,0.95,0.71
0.92,0.93,0.95,0.76
0.92,0.95,0.94,0.74
0.95,0.96,0.95,0.72
0.94,0.97,0.97,0.71
