NN,R-max mass,R-residual,l1-residual
0.93,0.96,0.96,0.73
0.88,0.95,0.94,0.7
0.91,0.97,0.96,0.65
0.93,0.95,0.93,0.68
0.86,0.88,0.92,0.57
0.94,0.93,0.92,0.6
0.88,0.93,0.94,0.7
0.9,0.91,0.89,0.69
0.92,0.93,0.92,0.62
0.9,0.91,0.91,0.64
0.9,0.89,0.87,0.77
0.96,0.94,0.95,0.75
0.92,0.93,0.93,0.72
0.96,0.96,0.95,0.68
0.9,0.91,0.9,0.57
0.88,0.89,0.89,0.66
0.94,0.94,0.93,0.72
0.96,0.96,0.96,0.77
0.92,0.96,0.95,0.74
0.9,0.94,0.92,0.67
0.88,0.93,0.9,0.7
0.93,0.95,0.95,0.5
0.95,0.97,0.93,0.77
0.91,0.91,0.91,0.62
0.91,0.93,0.9,0.65
0.91,0.9,0.88,0.67
0.87,0.9,0.91,0.61
0.87,0.88,0.88,0.61
0.92,0.92,0.93,0.6
0.94,0.95,0.94,0.62
0.91,0.91,0.95,0.56
0.94,0.95,0.93,0.69
0.94,0.93,0.94,0.62
0.89,0.89,0.85,0.6
0.94,0.97,0.98,0.71
0.94,0.95,0.95,0.55
0.94,0.95,0.95,0.62
0.92,0.94,0.9,0.68
0.94,0.96,0.96,0.71
0.93,0.95,0.95,0.77
0.87,0.89,0.89,0.67
0.95,0.97,0.97,0.61
0.92,0.91,0.93,0.69
0.93,0.94,0.94,0.66
0.95,0.94,0.94,0.73
0.85,0.87,0.9,0.65
0.88,0.87,0.84,0.61
0.94,0.94,0.95,0.69
0.96,0.96,0.97,0.69
0.92,0.94,0.96,0.64
