NN,R-max mass,R-residual,l1-residual
0.71,0.75,0.75,0.47
0.7,0.75,0.74,0.46
0.63,0.66,0.66,0.48
0.66,0.74,0.7,0.46
0.66,0.72,0.72,0.51
0.66,0.59,0.6,0.47
0.64,0.68,0.67,0.54
0.69,0.73,0.72,0.49
0.72,0.75,0.72,0.54
0.7,0.76,0.76,0.44
0.54,0.54,0.58,0.49
0.65,0.76,0.75,0.5
0.64,0.71,0.7,0.41
0.69,0.73,0.72,0.55
0.67,0.67,0.71,0.54
0.72,0.73,0.72,0.54
0.63,0.65,0.65,0.55
0.69,0.72,0.72,0.42
0.7,0.73,0.72,0.45
0.73,0.75,0.77,0.59
0.64,0.68,0.7,0.39
0.66,0.72,0.72,0.5
0.71,0.79,0.76,0.45
0.71,0.79,0.8,0.55
0.66,0.69,0.72,0.57
0.82,0.82,0.81,0.49
0.66,0.72,0.69,0.44
0.72,0.76,0.76,0.45
0.67,0.75,0.75,0.53
0.65,0.74,0.7,0.43
0.66,0.62,0.66,0.54
0.72,0.67,0.69,0.47
0.69,0.72,0.72,0.44
0.71,0.73,0.74,0.45
0.61,0.64,0.64,0.4
0.66,0.68,0.74,0.57
0.65,0.74,0.75,0.38
0.62,0.7,0.68,0.4
0.63,0.72,0.73,0.47
0.72,0.75,0.75,0.58
0.72,0.74,0.77,0.48
0.72,0.7,0.7,0.58
0.63,0.66,0.68,0.44
0.56,0.63,0.67,0.37
0.62,0.66,0.67,0.54
0.59,0.64,0.66,0.47
0.73,0.73,0.74,0.48
0.68,0.82,0.84,0.48
0.6,0.68,0.67,0.38
0.7,0.72,0.72,0.52
