NN,R-max mass,R-residual,l1-residual
0.86,0.89,0.89,0.58
0.8,0.92,0.92,0.46
0.82,0.89,0.89,0.55
0.84,0.91,0.91,0.67
0.86,0.9,0.9,0.7
0.82,0.88,0.87,0.53
0.77,0.86,0.86,0.68
0.83,0.92,0.92,0.63
0.79,0.89,0.89,0.51
0.8,0.91,0.9,0.5
0.9,0.93,0.92,0.54
0.87,0.94,0.95,0.65
0.83,0.85,0.87,0.61
0.85,0.94,0.94,0.51
0.82,0.84,0.86,0.56
0.83,0.92,0.91,0.57
0.89,0.94,0.94,0.52
0.81,0.87,0.88,0.59
0.79,0.89,0.89,0.63
0.89,0.92,0.91,0.61
0.87,0.94,0.94,0.65
0.87,0.92,0.92,0.61
0.77,0.86,0.87,0.64
0.79,0.87,0.88,0.56
0.89,0.9,0.92,0.63
0.87,0.91,0.91,0.64
0.84,0.88,0.86,0.53
0.83,0.92,0.92,0.51
0.86,0.91,0.89,0.52
0.87,0.89,0.88,0.64
0.79,0.89,0.89,0.58
0.86,0.93,0.93,0.57
0.88,0.91,0.91,0.58
0.79,0.89,0.89,0.54
0.88,0.91,0.91,0.55
0.85,0.91,0.94,0.55
0.8,0.9,0.89,0.58
0.81,0.88,0.88,0.6
0.92,0.93,0.93,0.63
0.82,0.88,0.87,0.62
0.87,0.9,0.89,0.57
0.81,0.88,0.88,0.54
0.84,0.9,0.89,0.55
0.84,0.9,0.89,0.64
0.85,0.9,0.9,0.52
0.84,0.86,0.87,0.59
0.84,0.86,0.86,0.55
0.83,0.92,0.92,0.55
0.89,0.92,0.92,0.59
0.92,0.94,0.94,0.65
