NN,R-max mass,R-residual,l1-residual
0.8,0.9,0.9,0.8
0.82,0.89,0.87,0.87
0.83,0.86,0.86,0.75
0.82,0.89,0.89,0.84
0.84,0.81,0.82,0.76
0.88,0.95,0.92,0.88
0.8,0.89,0.85,0.82
0.85,0.89,0.88,0.8
0.86,0.85,0.85,0.8
0.87,0.91,0.9,0.84
0.82,0.89,0.89,0.84
0.89,0.9,0.89,0.85
0.82,0.9,0.87,0.83
0.84,0.9,0.9,0.87
0.78,0.89,0.87,0.87
0.84,0.91,0.91,0.87
0.85,0.91,0.91,0.91
0.86,0.9,0.9,0.85
0.84,0.92,0.9,0.87
0.79,0.84,0.8,0.8
0.89,0.91,0.87,0.86
0.78,0.89,0.88,0.81
0.82,0.91,0.91,0.88
0.81,0.89,0.9,0.88
0.82,0.88,0.88,0.84
0.9,0.89,0.87,0.88
0.8,0.85,0.82,0.82
0.84,0.92,0.9,0.87
0.83,0.91,0.89,0.85
0.78,0.85,0.86,0.83
0.82,0.89,0.85,0.8
0.82,0.87,0.87,0.88
0.79,0.84,0.81,0.78
0.89,0.82,0.82,0.82
0.8,0.84,0.8,0.82
0.77,0.91,0.9,0.86
0.84,0.9,0.88,0.85
0.81,0.92,0.88,0.85
0.82,0.84,0.82,0.79
0.72,0.81,0.8,0.78
0.81,0.88,0.87,0.77
0.83,0.88,0.88,0.88
0.83,0.89,0.88,0.82
0.81,0.92,0.9,0.8
0.78,0.91,0.9,0.82
0.81,0.91,0.9,0.9
0.87,0.9,0.91,0.87
0.81,0.84,0.85,0.81
0.79,0.82,0.83,0.89
0.85,0.87,0.87,0.87
