NN,R-max mass,R-residual,l1-residual
0.78,0.81,0.75,0.68
0.65,0.69,0.68,0.73
0.74,0.77,0.73,0.74
0.74,0.67,0.62,0.7
0.59,0.63,0.57,0.67
0.72,0.76,0.73,0.76
0.67,0.79,0.74,0.74
0.74,0.78,0.76,0.74
0.72,0.86,0.85,0.77
0.7,0.73,0.71,0.71
0.7,0.8,0.78,0.79
0.69,0.76,0.72,0.69
0.68,0.74,0.73,0.74
0.66,0.77,0.71,0.71
0.67,0.64,0.62,0.63
0.79,0.79,0.76,0.73
0.76,0.77,0.77,0.81
0.76,0.87,0.83,0.85
0.71,0.73,0.67,0.69
0.82,0.82,0.81,0.79
0.72,0.78,0.77,0.68
0.74,0.72,0.7,0.74
0.7,0.76,0.78,0.72
0.7,0.71,0.66,0.71
0.72,0.79,0.8,0.77
0.68,0.76,0.72,0.73
0.71,0.82,0.78,0.74
0.8,0.8,0.77,0.71
0.81,0.85,0.82,0.77
0.71,0.82,0.79,0.76
0.66,0.75,0.71,0.73
0.71,0.7,0.66,0.67
0.75,0.8,0.76,0.78
0.67,0.83,0.79,0.74
0.71,0.78,0.77,0.7
0.8,0.81,0.81,0.72
0.72,0.72,0.67,0.64
0.63,0.7,0.68,0.7
0.6,0.67,0.63,0.62
0.79,0.85,0.81,0.76
0.75,0.79,0.73,0.74
0.77,0.84,0.79,0.79
0.63,0.83,0.8,0.8
0.79,0.78,0.77,0.73
0.8,0.79,0.78,0.81
0.66,0.73,0.7,0.72
0.81,0.85,0.85,0.82
0.77,0.77,0.75,0.78
0.63,0.74,0.76,0.71
0.67,0.66,0.59,0.7
